File,Line,Method,RawQuery,Classification
apps/api/src/auth/auth.service.ts,603,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,615,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,627,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,643,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,650,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,667,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,708,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,726,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,748,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,787,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,815,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,839,runAsSystem,,"UNSAFE"
apps/api/src/auth/auth.service.ts,893,runAsSystem,,"UNSAFE"
apps/api/src/auth/strategies/jwt.strategy.ts,62,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,28,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,43,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,54,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,80,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,87,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,112,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,130,runAsSystem,,"UNSAFE"
apps/api/src/auth/mfa.service.ts,139,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,34,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,42,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,70,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,91,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,146,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,158,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,174,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,199,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,232,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,251,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,273,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,291,runAsSystem,,"UNSAFE"
apps/api/src/auth/sso/sso.service.ts,333,runAsSystem,,"UNSAFE"
apps/api/src/auth/guards/api-key.guard.ts,53,runAsSystem,,"UNSAFE"
apps/api/src/integration/developer/developer-platform.service.ts,105,runAsSystem,,"UNSAFE"
apps/api/src/integration/framework/registry.service.ts,24,runAsSystem,,"UNSAFE"
apps/api/src/integration/framework/registry.service.ts,57,runAsSystem,,"UNSAFE"
apps/api/src/integration/events/event-integration.service.ts,28,runAsSystem,,"UNSAFE"
apps/api/src/integration/hub/enterprise-integration-hub.service.ts,24,runAsSystem,,"UNSAFE"
apps/api/src/optimization/optimization.controller.ts,52,runAsSystem,,"UNSAFE"
apps/api/src/optimization/optimization.controller.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/optimization/optimization.controller.ts,82,runAsSystem,,"UNSAFE"
apps/api/src/dispatch/engine/planning.service.ts,160,runAsSystem,,"UNSAFE"
apps/api/src/dispatch/engine/planning.service.ts,199,runAsSystem,,"UNSAFE"
apps/api/src/dispatch/engine/customer-promise.service.ts,18,runAsSystem,,"UNSAFE"
apps/api/src/dispatch/engine/customer-promise.service.ts,50,runAsSystem,,"UNSAFE"
apps/api/src/dispatch/engine/customer-promise.service.ts,58,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/external-identity-mapping.service.ts,18,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/external-identity-mapping.service.ts,29,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/external-identity-mapping.service.ts,59,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/external-identity-mapping.service.ts,68,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/external-identity-mapping.service.ts,94,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/reference-data.service.ts,23,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/reference-data.service.ts,40,runAsSystem,,"UNSAFE"
apps/api/src/platform/mdm/reference-data.service.ts,62,runAsSystem,,"UNSAFE"
apps/api/src/platform/security/secrets/secrets.service.ts,42,runAsSystem,,"UNSAFE"
apps/api/src/platform/security/secrets/secrets.service.ts,90,runAsSystem,,"UNSAFE"
apps/api/src/platform/runtime/business-rule-engine.service.ts,43,runAsSystem,,"UNSAFE"
apps/api/src/platform/runtime/business-rule-engine.service.ts,63,runAsSystem,,"UNSAFE"
apps/api/src/platform/runtime/business-rule-engine.service.ts,85,runAsSystem,,"UNSAFE"
apps/api/src/platform/iam/iam-policy-engine.service.ts,197,runAsSystem,,"UNSAFE"
apps/api/src/platform/feature-management/feature-toggle.service.ts,71,runAsSystem,,"UNSAFE"
apps/api/src/platform/feature-management/feature-toggle.service.ts,102,runAsSystem,,"UNSAFE"
apps/api/src/platform/audit/audit.service.ts,67,runAsSystem,,"UNSAFE"
apps/api/src/platform/audit/audit.service.ts,131,runAsSystem,,"UNSAFE"
apps/api/src/platform/audit/audit.service.ts,176,runAsSystem,,"UNSAFE"
apps/api/src/platform/audit/audit.service.ts,266,runAsSystem,,"UNSAFE"
apps/api/src/platform/files/file.service.ts,39,runAsSystem,,"UNSAFE"
apps/api/src/platform/api/health.service.ts,121,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/data-fabric/fusion-engine.service.ts,48,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/data-fabric/fusion-engine.service.ts,69,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/data-fabric/fusion-engine.service.ts,103,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/event-store.service.ts,91,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/twins/vehicle.twin.service.ts,40,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/twins/vehicle.twin.service.ts,85,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/twins/vehicle.twin.service.ts,95,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/sync/twin-sync.service.ts,28,runAsSystem,,"UNSAFE"
apps/api/src/platform/digital-twin/sync/twin-sync.service.ts,53,runAsSystem,,"UNSAFE"
apps/api/src/platform/guards/license-capacity.guard.ts,54,runAsSystem,,"UNSAFE"
apps/api/src/workspace/workspace.service.ts,59,runAsSystem,,"UNSAFE"
apps/api/src/workspace/workspace.service.ts,68,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/telemetry-ingress/telemetry-ingress.service.ts,32,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/telemetry-ingress/telemetry-ingress.service.ts,57,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/telemetry-ingress/telemetry-ingress.service.ts,75,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/core/marketplace-core.service.ts,42,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/core/marketplace-core.service.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/core/guards/app-installation.guard.ts,39,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/webhooks/webhook.service.ts,22,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/webhooks/webhook.service.ts,38,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/webhooks/webhook.processor.ts,91,runAsSystem,,"UNSAFE"
apps/api/src/marketplace/webhooks/webhook.processor.ts,107,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,20,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,28,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,35,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,92,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,125,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,128,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,147,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,153,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,175,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,184,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,197,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,208,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,241,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,252,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,262,runAsSystem,,"UNSAFE"
apps/api/src/admin/admin.service.ts,281,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,38,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,41,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,44,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,47,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,50,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,55,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,60,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,70,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,75,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,80,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,92,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,104,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,107,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/dashboard-admin.service.ts,139,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,46,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,64,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,98,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,116,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,128,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,133,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,146,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,155,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,166,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,192,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,208,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,222,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/audit-admin.service.ts,247,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,23,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,40,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,59,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,72,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,101,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,108,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,128,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,165,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/api-admin.service.ts,188,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,26,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,54,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,67,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,170,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,177,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,203,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,210,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,235,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,242,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,268,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,275,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,299,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,307,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,310,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,335,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,349,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,374,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,382,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,385,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/user-admin.service.ts,388,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,134,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,142,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,167,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,177,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,197,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,204,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,231,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,244,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,270,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,278,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,304,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,320,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/rbac-admin.service.ts,341,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/security-policy-admin.service.ts,14,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/security-policy-admin.service.ts,52,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/security-policy-admin.service.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/feature-flag-admin.service.ts,17,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/feature-flag-admin.service.ts,66,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/feature-flag-admin.service.ts,104,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/feature-flag-admin.service.ts,125,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,27,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,30,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,33,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,36,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,39,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,55,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,69,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,79,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,109,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,117,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,141,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,149,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,168,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,181,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,189,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,219,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,226,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,246,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,253,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,270,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,284,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,294,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,324,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,331,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,351,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/org-admin.service.ts,358,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,44,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,50,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,53,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,56,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,59,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,62,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,143,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,152,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,159,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,166,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,207,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,212,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,238,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,243,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,265,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,272,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,306,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,311,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,333,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,347,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,360,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,365,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/license-admin.service.ts,376,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,21,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,37,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,65,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,70,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,97,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,110,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,134,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,150,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,174,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/tenant-admin.service.ts,190,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,22,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,26,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,31,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,84,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,112,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,140,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,168,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,196,runAsSystem,,"UNSAFE"
apps/api/src/admin/services/system-settings-admin.service.ts,227,runAsSystem,,"UNSAFE"
apps/api/src/background-jobs/background-jobs.service.ts,58,runAsSystem,,"UNSAFE"
apps/api/src/background-jobs/background-jobs.service.ts,73,runAsSystem,,"UNSAFE"
apps/api/src/background-jobs/background-jobs.service.ts,87,runAsSystem,,"UNSAFE"
apps/api/src/background-jobs/background-jobs.service.ts,100,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,46,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,83,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,149,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,152,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,155,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,158,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,186,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,191,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,196,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,223,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,284,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,287,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,290,runAsSystem,,"UNSAFE"
apps/api/src/operations/metrics/metrics-platform.service.ts,319,runAsSystem,,"UNSAFE"
apps/api/src/operations/tracing/distributed-tracing.service.ts,124,runAsSystem,,"UNSAFE"
apps/api/src/operations/tracing/distributed-tracing.service.ts,269,runAsSystem,,"UNSAFE"
apps/api/src/operations/tracing/distributed-tracing.service.ts,372,runAsSystem,,"UNSAFE"
apps/api/src/operations/dr/disaster-recovery.service.ts,39,runAsSystem,,"UNSAFE"
apps/api/src/operations/dr/disaster-recovery.service.ts,68,runAsSystem,,"UNSAFE"
apps/api/src/operations/dr/disaster-recovery.service.ts,74,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,140,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,149,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,194,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,239,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,247,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,326,runAsSystem,,"UNSAFE"
apps/api/src/operations/health/enterprise-health.service.ts,405,runAsSystem,,"UNSAFE"
apps/api/src/operations/operations.scheduler.ts,55,runAsSystem,,"UNSAFE"
apps/api/src/operations/operations.scheduler.ts,140,runAsSystem,,"UNSAFE"
apps/api/src/operations/operations.scheduler.ts,143,runAsSystem,,"UNSAFE"
apps/api/src/operations/operations.scheduler.ts,166,runAsSystem,,"UNSAFE"
apps/api/src/operations/operations.scheduler.ts,214,runAsSystem,,"UNSAFE"
apps/api/src/operations/operations.scheduler.ts,217,runAsSystem,,"UNSAFE"
