Controller,Route,AuthType,Permissions
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id/activate',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id/deactivate',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id/clone',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id/version',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'rules/:id/history',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'evaluate',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'v2/definitions',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'v2/definitions/:id/publish',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'v2/definitions/:id/archive',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'id',AUTH,  @Post('rules/simulate')
workflow.controller.ts,'v2/metrics',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'v2/definitions/:id/history',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
workflow.controller.ts,'v2/approvals/requests/:requestId/steps/:stepId',AUTH,  @Post('rules/simulate')
workflow.controller.ts,,AUTH,  @Post('rules/simulate')
users.controller.ts,,AUTH,  @Post()
users.controller.ts,,AUTH,  @Post()
users.controller.ts,,AUTH,  @Post()
users.controller.ts,,AUTH,  @Post()
users.controller.ts,':id',AUTH,  @Post()
users.controller.ts,'id',AUTH,  @Post()
users.controller.ts,':id',AUTH,  @Post()
users.controller.ts,,AUTH,  @Post()
users.controller.ts,':id',AUTH,  @Post()
users.controller.ts,'id',AUTH,  @Post()
api-platform.controller.ts,'keys',AUTH,  @Post('keys')
api-platform.controller.ts,,AUTH,  @Post('keys')
api-platform.controller.ts,'keys',AUTH,  @Post('keys')
api-platform.controller.ts,,AUTH,  @Post('keys')
api-platform.controller.ts,'webhooks',AUTH,  @Post('keys')
api-platform.controller.ts,,AUTH,  @Post('keys')
api-platform.controller.ts,'webhooks',AUTH,  @Post('keys')
api-platform.controller.ts,,AUTH,  @Post('keys')
lifecycle.controller.ts,'health',AUTH,
lifecycle.controller.ts,'versions',AUTH,
lifecycle.controller.ts,'changelog',AUTH,
webhooks-v2.controller.ts,,AUTH,
webhooks-v2.controller.ts,,AUTH,
webhooks-v2.controller.ts,,AUTH,
webhooks-v2.controller.ts,,AUTH,
webhooks-v2.controller.ts,':id',AUTH,
webhooks-v2.controller.ts,,AUTH,
loads-v2.controller.ts,,AUTH,
loads-v2.controller.ts,,AUTH,
loads-v2.controller.ts,,AUTH,
loads-v2.controller.ts,,AUTH,
loads-v2.controller.ts,':id',AUTH,
loads-v2.controller.ts,'id',AUTH,
loads-v2.controller.ts,':id',AUTH,
loads-v2.controller.ts,,AUTH,
loads-v2.controller.ts,':id',AUTH,
loads-v2.controller.ts,'id',AUTH,
tracking.controller.ts,'live',AUTH,  @Get('live')
tracking.controller.ts,,AUTH,  @Get('live')
tracking.controller.ts,'location',AUTH,  @Get('live')
tracking.controller.ts,,AUTH,  @Get('live')
enterprise-telematics.controller.ts,'telemetry',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'geofences',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'geofences',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'geofences/:id',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'geofences/:id',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'geofences/evaluate',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'geofence-events',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'alert-rules',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'alert-rules',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'alert-rules/:id',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'alerts',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'alerts/:id/status',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,'analytics',AUTH,  @Post('telemetry')
enterprise-telematics.controller.ts,,AUTH,  @Post('telemetry')
fuel.controller.ts,'cards',AUTH,  @Post('cards')
fuel.controller.ts,,AUTH,  @Post('cards')
fuel.controller.ts,'cards',AUTH,  @Post('cards')
fuel.controller.ts,,AUTH,  @Post('cards')
fuel.controller.ts,'stations',AUTH,  @Post('cards')
fuel.controller.ts,,AUTH,  @Post('cards')
fuel.controller.ts,'stations',AUTH,  @Post('cards')
fuel.controller.ts,,AUTH,  @Post('cards')
fuel.controller.ts,'transactions',AUTH,  @Post('cards')
fuel.controller.ts,,AUTH,  @Post('cards')
fuel.controller.ts,'transactions',AUTH,  @Post('cards')
fuel.controller.ts,,AUTH,  @Post('cards')
vehicles.controller.ts,,AUTH,  @Post()
vehicles.controller.ts,,AUTH,  @Post()
vehicles.controller.ts,,AUTH,  @Post()
vehicles.controller.ts,,AUTH,  @Post()
vehicles.controller.ts,':id',AUTH,  @Post()
vehicles.controller.ts,'id',AUTH,  @Post()
vehicles.controller.ts,':id',AUTH,  @Post()
vehicles.controller.ts,,AUTH,  @Post()
vehicles.controller.ts,':id',AUTH,  @Post()
vehicles.controller.ts,'id',AUTH,  @Post()
permit.controller.ts,,AUTH,
permit.controller.ts,,AUTH,
permit.controller.ts,,AUTH,
permit.controller.ts,,AUTH,
permit.controller.ts,':id',AUTH,
permit.controller.ts,'id',AUTH,
permit.controller.ts,':id',AUTH,
permit.controller.ts,,AUTH,
permit.controller.ts,':id',AUTH,
permit.controller.ts,'id',AUTH,
tyre.controller.ts,,AUTH,  @Post()
tyre.controller.ts,,AUTH,  @Post()
tyre.controller.ts,,AUTH,  @Post()
tyre.controller.ts,,AUTH,  @Post()
tyre.controller.ts,':id/install',AUTH,  @Post()
tyre.controller.ts,,AUTH,  @Post()
tyre.controller.ts,':id/rotate',AUTH,  @Post()
tyre.controller.ts,,AUTH,  @Post()
tyre.controller.ts,':id/scrap',AUTH,  @Post()
tyre.controller.ts,,AUTH,  @Post()
compliance.controller.ts,'hos-violations',AUTH,  @Post('hos-violations')
compliance.controller.ts,,AUTH,  @Post('hos-violations')
compliance.controller.ts,'hos-violations',AUTH,  @Post('hos-violations')
compliance.controller.ts,,AUTH,  @Post('hos-violations')
compliance.controller.ts,'dvir',AUTH,  @Post('hos-violations')
compliance.controller.ts,,AUTH,  @Post('hos-violations')
compliance.controller.ts,'dvir',AUTH,  @Post('hos-violations')
compliance.controller.ts,,AUTH,  @Post('hos-violations')
compliance.controller.ts,'registration/:vehicleId',AUTH,  @Post('hos-violations')
compliance.controller.ts,,AUTH,  @Post('hos-violations')
compliance.controller.ts,'insurance/:vehicleId',AUTH,  @Post('hos-violations')
compliance.controller.ts,,AUTH,  @Post('hos-violations')
maintenance.controller.ts,'workshops',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'workshops',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'mechanics',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'mechanics',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'job-cards',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'job-cards',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'job-cards/:id/close',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'schedules',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
maintenance.controller.ts,'schedules',AUTH,  @Post('workshops')
maintenance.controller.ts,,AUTH,  @Post('workshops')
finance.controller.ts,'invoices',AUTH,  @Get('invoices')
finance.controller.ts,,AUTH,  @Get('invoices')
finance.controller.ts,'expenses',AUTH,  @Get('invoices')
finance.controller.ts,,AUTH,  @Get('invoices')
finance.controller.ts,'expenses',AUTH,  @Get('invoices')
finance.controller.ts,,AUTH,  @Get('invoices')
finance.controller.ts,'settlements',AUTH,  @Get('invoices')
finance.controller.ts,,AUTH,  @Get('invoices')
finance.controller.ts,'vendor-bills',AUTH,  @Get('invoices')
finance.controller.ts,,AUTH,  @Get('invoices')
finance.controller.ts,'payments',AUTH,  @Get('invoices')
finance.controller.ts,,AUTH,  @Get('invoices')
general-ledger.controller.ts,'entries',AUTH,
general-ledger.controller.ts,,AUTH,
general-ledger.controller.ts,'entries',AUTH,
general-ledger.controller.ts,,AUTH,
fastag.controller.ts,,AUTH,
fastag.controller.ts,,AUTH,
fastag.controller.ts,'sync',AUTH,
fastag.controller.ts,,AUTH,
bank-statement.controller.ts,,AUTH,
bank-statement.controller.ts,,AUTH,
bank-statement.controller.ts,':id',AUTH,
bank-statement.controller.ts,':id',AUTH,
bank-statement.controller.ts,':id',AUTH,
accounts-payable.controller.ts,,AUTH,
accounts-payable.controller.ts,,AUTH,
accounts-payable.controller.ts,,AUTH,
accounts-payable.controller.ts,,AUTH,
payroll.controller.ts,,AUTH,
payroll.controller.ts,,AUTH,
payroll.controller.ts,':id',AUTH,
payroll.controller.ts,':id',AUTH,
payroll.controller.ts,':id',AUTH,
driver-wallet.controller.ts,'balance',AUTH,  @Get('balance')
driver-wallet.controller.ts,,AUTH,  @Get('balance')
driver-wallet.controller.ts,'expenses',AUTH,  @Get('balance')
driver-wallet.controller.ts,,AUTH,  @Get('balance')
driver-wallet.controller.ts,'expenses',AUTH,  @Get('balance')
driver-wallet.controller.ts,,AUTH,  @Get('balance')
driver-wallet.controller.ts,'expenses/:id/approve',AUTH,  @Get('balance')
driver-wallet.controller.ts,,AUTH,  @Get('balance')
driver-wallet.controller.ts,'settlements/generate',AUTH,  @Get('balance')
driver-wallet.controller.ts,,AUTH,  @Get('balance')
driver-wallet.controller.ts,'settlements',AUTH,  @Get('balance')
driver-wallet.controller.ts,,AUTH,  @Get('balance')
invoicing.controller.ts,,AUTH,
invoicing.controller.ts,,AUTH,
invoicing.controller.ts,,AUTH,
invoicing.controller.ts,,AUTH,
maintenance.controller.ts,,AUTH,  @Post()
maintenance.controller.ts,,AUTH,  @Post()
maintenance.controller.ts,,AUTH,  @Post()
maintenance.controller.ts,,AUTH,  @Post()
maintenance.controller.ts,':id/complete',AUTH,  @Post()
maintenance.controller.ts,,AUTH,  @Post()
branches.controller.ts,,AUTH,  @Post()
branches.controller.ts,,AUTH,  @Post()
branches.controller.ts,,AUTH,  @Post()
branches.controller.ts,,AUTH,  @Post()
branches.controller.ts,':id',AUTH,  @Post()
branches.controller.ts,'id',AUTH,  @Post()
branches.controller.ts,':id',AUTH,  @Post()
branches.controller.ts,,AUTH,  @Post()
branches.controller.ts,':id',AUTH,  @Post()
branches.controller.ts,'id',AUTH,  @Post()
enterprise-document.controller.ts,'folders/tree',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'folders',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'folders/:id',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'folders/:id',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'move/:documentId',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/checkout',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/checkin',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/unlock',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/versions',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/revert/:version',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/signatures',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/signatures',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'signatures/:signatureId/sign',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'signatures/:signatureId/reject',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'signatures/:signatureId/certificate',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'compliance/requirements',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'compliance/requirements',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'compliance/requirements/:id',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'compliance/evaluate/:entityType/:entityId',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,'compliance/scan-expiring',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,':documentId/ai-classify',AUTH,  @Get('folders/tree')
enterprise-document.controller.ts,,AUTH,  @Get('folders/tree')
documents.controller.ts,'upload',AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
documents.controller.ts,'folders',AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
documents.controller.ts,'folders',AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
documents.controller.ts,'loads/:loadId',AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
documents.controller.ts,'entity/:entityType/:entityId',AUTH,  @Post('upload')
documents.controller.ts,,AUTH,  @Post('upload')
app.controller.ts,,AUTH,
vehicle-lifecycle.controller.ts,'status',AUTH,
vehicle-lifecycle.controller.ts,,AUTH,
vehicle-lifecycle.controller.ts,'onboard',AUTH,
vehicle-lifecycle.controller.ts,,AUTH,
iot.controller.ts,'webhook/:providerId',AUTH,
fleet-maintenance.controller.ts,'upcoming',AUTH,
fleet-maintenance.controller.ts,,AUTH,
fleet-maintenance.controller.ts,'breakdown',AUTH,
fleet-maintenance.controller.ts,,AUTH,
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,':id/topology',AUTH,  @Get()
warehouse.controller.ts,'id',AUTH,  @Get()
warehouse.controller.ts,'inbound/asn',AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,'inbound/:id/receive',AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,'outbound/order',AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,'outbound/:id/pick',AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,'docks/schedule',AUTH,  @Get()
warehouse.controller.ts,,AUTH,  @Get()
warehouse.controller.ts,':id/inventory/abc',AUTH,  @Get()
warehouse.controller.ts,'id',AUTH,  @Get()
data.controller.ts,'export',AUTH,  @Post('export')
data.controller.ts,,AUTH,  @Post('export')
data.controller.ts,'import',AUTH,  @Post('export')
data.controller.ts,,AUTH,  @Post('export')
trips.controller.ts,,AUTH,  @Post()
trips.controller.ts,,AUTH,  @Post()
trips.controller.ts,,AUTH,  @Post()
trips.controller.ts,,AUTH,  @Post()
trips.controller.ts,':id',AUTH,  @Post()
trips.controller.ts,'id',AUTH,  @Post()
trips.controller.ts,':id',AUTH,  @Post()
trips.controller.ts,,AUTH,  @Post()
trips.controller.ts,':id/loads',AUTH,  @Post()
trips.controller.ts,,AUTH,  @Post()
trips.controller.ts,':id',AUTH,  @Post()
trips.controller.ts,'id',AUTH,  @Post()
tenant.controller.ts,'onboarding/complete',AUTH,  @Post('onboarding/complete')
tenant.controller.ts,,AUTH,  @Post('onboarding/complete')
tenant.controller.ts,'branding/logo',AUTH,  @Post('onboarding/complete')
tenant.controller.ts,,AUTH,  @Post('onboarding/complete')
tenant.controller.ts,'provisioning/defaults',AUTH,  @Post('onboarding/complete')
tenant.controller.ts,,AUTH,  @Post('onboarding/complete')
billing.controller.ts,'plans',AUTH,  @Get('info')
billing.controller.ts,'info',AUTH,  @Get('info')
billing.controller.ts,,AUTH,  @Get('info')
billing.controller.ts,'checkout',AUTH,  @Get('info')
billing.controller.ts,,AUTH,  @Get('info')
stripe-webhook.controller.ts,,AUTH,
razorpay-webhook.controller.ts,,AUTH,
companies.controller.ts,,AUTH,  @Post()
companies.controller.ts,,AUTH,  @Post()
companies.controller.ts,,AUTH,  @Post()
companies.controller.ts,,AUTH,  @Post()
companies.controller.ts,':id',AUTH,  @Post()
companies.controller.ts,'id',AUTH,  @Post()
companies.controller.ts,':id',AUTH,  @Post()
companies.controller.ts,,AUTH,  @Post()
companies.controller.ts,':id',AUTH,  @Post()
companies.controller.ts,'id',AUTH,  @Post()
billing.controller.ts,'rate-cards',AUTH,  @Post('rate-cards')
billing.controller.ts,,AUTH,  @Post('rate-cards')
billing.controller.ts,'rate-cards',AUTH,  @Post('rate-cards')
billing.controller.ts,,AUTH,  @Post('rate-cards')
billing.controller.ts,'invoices',AUTH,  @Post('rate-cards')
billing.controller.ts,,AUTH,  @Post('rate-cards')
billing.controller.ts,'invoices/:id/approve',AUTH,  @Post('rate-cards')
billing.controller.ts,'id',AUTH,  @Post('rate-cards')
stripe.controller.ts,'webhook',AUTH,
localization.controller.ts,'locales',AUTH,  @Post('locales')
localization.controller.ts,,AUTH,  @Post('locales')
localization.controller.ts,'locales',AUTH,  @Post('locales')
localization.controller.ts,,AUTH,  @Post('locales')
localization.controller.ts,'translations/:localeId',AUTH,  @Post('locales')
localization.controller.ts,,AUTH,  @Post('locales')
localization.controller.ts,'translations/:localeCode',AUTH,  @Post('locales')
localization.controller.ts,,AUTH,  @Post('locales')
sse.controller.ts,,AUTH,
notification.controller.ts,,AUTH,
notification.controller.ts,,AUTH,
notification.controller.ts,':id/read',AUTH,
notification.controller.ts,,AUTH,
notification.controller.ts,':id/unread',AUTH,
notification.controller.ts,,AUTH,
notification.controller.ts,':id/archive',AUTH,
notification.controller.ts,'id',AUTH,
notification.controller.ts,':id/pin',AUTH,
notification.controller.ts,'id',AUTH,
notification.controller.ts,':id/unpin',AUTH,
notification.controller.ts,'id',AUTH,
enterprise-notification.controller.ts,'templates',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
enterprise-notification.controller.ts,'templates',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
enterprise-notification.controller.ts,'templates/:id',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
enterprise-notification.controller.ts,'templates/:id',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
enterprise-notification.controller.ts,'dispatch',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
enterprise-notification.controller.ts,'metrics',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
enterprise-notification.controller.ts,'retry-failed',AUTH,  @Post('templates')
enterprise-notification.controller.ts,,AUTH,  @Post('templates')
preferences.controller.ts,,AUTH,
preferences.controller.ts,,AUTH,
preferences.controller.ts,,AUTH,
preferences.controller.ts,,AUTH,
announcement.controller.ts,,AUTH,
announcement.controller.ts,,AUTH,
announcement.controller.ts,,AUTH,
announcement.controller.ts,,AUTH,
inbox.controller.ts,'threads',AUTH,
inbox.controller.ts,,AUTH,
inbox.controller.ts,'threads/:threadId/messages',AUTH,
inbox.controller.ts,,AUTH,
inbox.controller.ts,'threads/:threadId/messages',AUTH,
inbox.controller.ts,,AUTH,
analytics.controller.ts,'metrics/command-center',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'forecast/revenue',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'dashboards',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'dashboards',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'reports/export',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'kpi',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'kpi',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'custom-metrics',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'trend-reports',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'performers/top',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
analytics.controller.ts,'performers/bottom',AUTH,  @Get('metrics/command-center')
analytics.controller.ts,,AUTH,  @Get('metrics/command-center')
reports.controller.ts,'dashboard',AUTH,  @Get('dashboard')
reports.controller.ts,,AUTH,  @Get('dashboard')
reports.controller.ts,'customers',AUTH,  @Get('dashboard')
reports.controller.ts,,AUTH,  @Get('dashboard')
reports.controller.ts,'drivers',AUTH,  @Get('dashboard')
reports.controller.ts,,AUTH,  @Get('dashboard')
reports.controller.ts,'vehicles',AUTH,  @Get('dashboard')
reports.controller.ts,,AUTH,  @Get('dashboard')
yard.controller.ts,'gate/entry',AUTH,  @Post('gate/entry')
yard.controller.ts,,AUTH,  @Post('gate/entry')
yard.controller.ts,'gate/exit',AUTH,  @Post('gate/entry')
yard.controller.ts,,AUTH,  @Post('gate/entry')
